"first_name","last_name","company_name","address","city","province","postal","phone1","phone2","email","web","date_of_birth"
"Gianna","Zinda","All Brevard Cert Apprsls Inc","100 Main St","Calgary","AB","T2K 4X5","403-337-7162","403-540-5944","gianna_zinda@cox.net","http://www.allbrevardcertapprslsinc.com","1982-10-13"
"Valentin","Chreene","General Color Co Inc","6185 Bohn St #72","Pangman","SK","S0C 2C0","306-291-5073","306-316-7477","v.chreene@aol.com","http://www.generalcolorcoinc.com","1973-07-29"
"Ilona","Granier","Adams Balcom & Larose Pc","2 Sutton Pl S #5727","Rouyn-Noranda","QC","J9X 3V4","819-536-7034","819-413-1530","ilonagranier@cox.net","http://www.adamsbalcomlarosepc.com","1967-10-23"
"Willard","Logwood","Mershon Metal Specialties Inc","1534 Sidco Dr","Leduc","AB","T9E 5A6","780-384-5410","780-835-8022","w.logwood@cox.net","http://www.mershonmetalspecialtiesinc.com","1981-03-11"
"Lauryn","Sandusky","Judy, Henry L Esq","4207 Leon Rd","North Vancouver","BC","V7L 3X6","604-236-4625","604-597-5482","lauryn.sandusky@cox.net","http://www.judyhenrylesq.com","1999-11-27"
"Laurena","Mcshaw","Barry, Anthony S Esq","7564 N Academy Ave","London","ON","N6A 1S5","519-790-8660","519-942-6403","l.mcshaw@cox.net","http://www.barryanthonysesq.com","1972-09-06"
"Elise","Haberle","Thurman, William T Esq","88 E Saint Elmo Rd","Hamilton","ON","L8R 3J3","905-652-4509","905-695-9406","elise.haberle@hotmail.com","http://www.thurmanwilliamtesq.com","1969-03-17"
"Corrie","Hairr","Lynch, Steven J Esq","75 Westchester Ave","Pierrefonds","QC","H9J 1W6","514-203-7817","514-329-4482","corrie.hairr@hotmail.com","http://www.lynchstevenjesq.com","1986-08-03"
"Kimberely","Tuazon","Carey, Paul D Esq","89 W 35th St #1","Windsor","ON","N8S 3R1","519-912-5533","519-814-7675","kimberely.tuazon@hotmail.com","http://www.careypauldesq.com","1978-08-19"
"Tish","Mccarley","Electro Arc Manufacturing Co","1 Norris Ave #4095","Laval","QC","H7W 5K7","450-840-7605","450-571-7613","tishmccarley@gmail.com","http://www.electroarcmanufacturingco.com","1978-12-16"
"Hollis","Tesseneer","Feehan Plumbing & Heating","5174 Interstate 45 N","Yellowhead County","AB","T7E 3A7","780-574-5620","780-994-8693","hollis.tesseneer@hotmail.com","http://www.feehanplumbingheating.com","1999-09-21"
"Andree","Vitrano","Easton Cooperative Bank","765 Rock Island Rd","Strathroy","ON","N7G 3K6","519-872-6826","519-648-4096","a.vitrano@hotmail.com","http://www.eastoncooperativebank.com","1982-04-04"
"Lyla","Helander","Hambro Forest Products Inc","7979 33  191","North River","NS","B6L 6N1","902-844-1174","902-727-6846","lyla.helander@helander.com","http://www.hambroforestproductsinc.com","1951-06-05"
"Felton","Hegdahl","Penkava, Robert Md","202 Madison Ave","Ottawa","ON","K1Y 1M2","613-749-1169","613-603-5671","f.hegdahl@aol.com","http://www.penkavarobertmd.com","1982-04-03"
"Dell","Spannuth","Saint John Neumann Nurse Home","56 Corporate Dr","Becancour","QC","G9H 1H7","819-255-1725","819-960-7659","dell_spannuth@yahoo.com","http://www.saintjohnneumannnursehome.com","1986-06-21"
"Nohemi","Lortz","Bohne, Karl W Jr","37 Us Highway 12e E #6","Sault Ste. Marie","ON","P6C 2C8","705-838-9265","705-876-8353","nohemil@aol.com","http://www.bohnekarlwjr.com","1957-05-17"
"Tambra","Letran","Moore, Albert F Esq","6734 W Jackson Blvd","Salmon Arm","BC","V1E 4G9","250-353-7479","250-437-2898","tambra.letran@cox.net","http://www.moorealbertfesq.com","1969-01-31"
"Vicki","Roseum","George Bigham & Associates","7 Tomahawk Dr","Richmond","BC","V7A 3N1","604-231-6180","604-518-2078","vicki_roseum@gmail.com","http://www.georgebighamassociates.com","1991-02-26"
"Renato","Geberth","Super 8 Motel","1 Vernon Blvd","Calgary","AB","T2A 2H9","403-444-2250","403-232-4114","r.geberth@geberth.com","http://www.supermotel.com","1981-04-21"
"Lenita","Naddeo","Ball, David S","2726 Franklin Hill Rd","Vernon","BC","V1T 7V8","250-749-4517","250-607-3667","lnaddeo@naddeo.org","http://www.balldavids.com","1980-02-25"
"Barney","Fajen","Fox Vision Center","6335 Fort Myer Dr","Saint-Hyacinthe","QC","J2S 2N3","450-526-5424","450-755-7626","barneyfajen@aol.com","http://www.foxvisioncenter.com","1997-06-12"
"Matthew","Hermon","Livingston & Schneider Pc","220 Old Us Highway 441","Peterborough","ON","K9H 6C3","705-417-7221","705-937-7391","mhermon@cox.net","http://www.livingstonschneiderpc.com","1995-01-02"
"Belen","Anstead","A Peter Howell Pc","77 Central Pky N","Quesnel","BC","V2J 1N4","250-768-5812","250-801-3234","belen.anstead@hotmail.com","http://www.apeterhowellpc.com","1952-12-26"
"Iesha","Richrdson","Honker Cut Marine","781 Alabama Ave","Etobicoke","ON","M8Z 2C1","416-989-2001","416-615-4957","irichrdson@richrdson.org","http://www.honkercutmarine.com","1971-02-14"
"Francesco","Pospishil","Gabriel & Associates","22 Dearborn St","Regina","SK","S4T 4B1","306-524-4509","306-353-2821","francesco_pospishil@aol.com","http://www.gabrielassociates.com","1995-09-30"
"Paulene","Wasurick","Beck Corporation","21 E 64th Ave","Matane","QC","G4W 3G6","418-348-2107","418-378-2652","paulene_wasurick@hotmail.com","http://www.beckcorporation.com","1963-05-03"
"Carole","Crocker","Kolodny, Howard Esq","9 N Central Ave","Abbotsford","BC","V2S 5R3","604-262-8556","604-598-8225","ccrocker@cox.net","http://www.kolodnyhowardesq.com","1951-09-08"
"Miss","Rowe","Mcgladrey & Pullen","38 Douglas Rd E #39","Regina","SK","S4R 1J5","306-508-8874","306-844-7974","miss.rowe@aol.com","http://www.mcgladreypullen.com","1955-03-07"
"Elfrieda","Fitgerald","Y 105 Kgfy","4929 Sidney St #8276","Vernon","BC","V1T 4A3","250-454-9384","250-243-5520","elfrieda_fitgerald@cox.net","http://www.ykgfy.com","1974-03-03"
"Edelmira","Greeves","Chagrin Wine & Beverage Co","4936 Walcott Rd","Regina","SK","S4R 3M1","306-611-7185","306-432-3860","edelmira.greeves@cox.net","http://www.chagrinwinebeverageco.com","1961-02-13"
"Jaime","Gudiel","Lewis, George L Esq","6760 E Fayette St #9","Saint-Damien","QC","J0K 2N1","450-531-8633","450-988-2708","jaime.gudiel@gmail.com","http://www.lewisgeorgelesq.com","1974-03-07"
"Lera","Masso","York Services Landscpg Divsn","6638 S Webster St #491","Miramichi","NB","E1V 2N4","506-556-4300","506-802-9529","lera.masso@hotmail.com","http://www.yorkserviceslandscpgdivsn.com","1951-09-15"
"Jame","Jacocks","Janney Montgomery Scott Inc","4465 James St","Kitchener","ON","N2N 1Y6","519-920-7003","519-719-2960","j.jacocks@gmail.com","http://www.janneymontgomeryscottinc.com","1994-01-10"
"Jillian","Plantenberg","Global Securities Info Inc","8721 Everett Rd","Mississauga","ON","L4Z 2V7","905-864-2257","905-995-7113","jillian_plantenberg@cox.net","http://www.globalsecuritiesinfoinc.com","1970-10-13"
"Louis","Diebold","Dealers Mfg Co","6 E Kingsbridge Rd","Stoneham-Et-Tewkesbury","QC","G3C 2A8","418-568-3216","418-396-2430","l.diebold@diebold.com","http://www.dealersmfgco.com","1984-01-08"
"Emmett","Mamudoski","Yaffa, Michael Esq","920 Union Blvd","Sault Ste. Marie","ON","P6B 5Y2","705-581-1220","705-779-8510","emmett_mamudoski@cox.net","http://www.yaffamichaelesq.com","1987-07-21"
"Tammy","Vielma","Photos Inc","5 Secaucus Rd","Nanaimo","BC","V9R 5W6","250-226-1002","250-625-6517","tammy_vielma@aol.com","http://www.photosinc.com","1986-02-20"
"Willis","Plikerd","Acquired Knowledge Inc","646 9th St","Saint-Raymond","QC","G3L 3X9","418-833-1949","418-933-6430","willis_plikerd@cox.net","http://www.acquiredknowledgeinc.com","1973-07-20"
"Maxima","Jobst","B Js Body Shop","864 Aupuni St","St Catharines","ON","L2T 2V2","905-569-6732","905-595-2866","m.jobst@jobst.org","http://www.bjsbodyshop.com","1983-11-09"
"Boris","Evartt","Emlou Boutique","9390 Fortin Dr","Quebec","QC","G1M 2H8","418-459-4884","418-668-9068","boris_evartt@evartt.com","http://www.emlouboutique.com","1976-08-15"
"Salina","Hoerter","Schiller & Osbourn","4 Newark St","Arnprior","ON","K7S 2G8","613-280-7170","613-942-9083","salinah@hoerter.com","http://www.schillerosbourn.com","1957-09-02"
"Justa","Kaper","Superior Coffee & Foods","8 J St","Vernon","BC","V1T 6J8","250-982-9377","250-460-8500","justa.kaper@aol.com","http://www.superiorcoffeefoods.com","1961-07-24"
"Amalia","Armacost","Knutson, Becky S Esq","394 Dice Rd #861","Windsor","ON","N8N 3V8","519-219-3608","519-885-5104","amalia_armacost@gmail.com","http://www.knutsonbeckysesq.com","1994-01-26"
"Felix","Peth","Corinth Dry Cleaners","92 W 39th St #9990","London","ON","N6G 3E5","519-426-7161","519-845-2626","felixp@aol.com","http://www.corinthdrycleaners.com","1957-10-23"
"Eura","Reider","Graphic Color Litho Inc","9 N Monroe St","Lloydminster","SK","S9V 0C6","306-979-2571","306-813-8269","e.reider@aol.com","http://www.graphiccolorlithoinc.com","2001-03-12"
"Frank","Neelon","Preferred Service Group Inc","2 Global Rd","Cambridge","ON","N1R 2X2","519-985-7311","519-864-3447","f.neelon@cox.net","http://www.preferredservicegroupinc.com","1971-06-21"
"Agustin","Billow","Thrasher, John E Esq","23 E Wacker Dr #64","Becancour","QC","G9H 4T4","819-365-5394","819-820-9025","agustin_billow@billow.com","http://www.thrasherjohneesq.com","1964-02-06"
"Jaime","Doscher","Sams Liquor & Deli","1 Nw 167th St","Winnipeg","MB","R3J 2Z1","204-438-6204","204-941-5253","jaime.doscher@doscher.org","http://www.samsliquordeli.com","1999-08-10"
"Carman","Quinlisk","Weiss, Martin Esq","1 Frontage Rd","St. Johns","NL","A1B 5B3","709-366-8943","709-882-9189","carman.quinlisk@aol.com","http://www.weissmartinesq.com","1995-06-29"
"Argelia","Conger","Medical Productions","5 Columbia","North Vancouver","BC","V7J 2J9","604-823-2881","604-904-3459","argelia_conger@aol.com","http://www.medicalproductions.com","1954-07-31"
"Mammie","Masiejczyk","Arellano, Cecilia S Md","14 E 30th St","Montreal","QC","H1E 1R4","514-205-4258","514-841-9635","mammie.masiejczyk@cox.net","http://www.arellanoceciliasmd.com","1985-07-26"
"Rashad","Dorio","World Sign Associates","8 Commercial Ave","Carleton Place","ON","K7C 2T3","613-697-2555","613-841-5430","rashad.dorio@cox.net","http://www.worldsignassociates.com","1974-07-03"
"Janna","Peets","Hastings, Robert R Jr","41 Drive  Hwy 54s S","Vancouver","BC","V6N 3C5","604-575-7837","604-519-7671","janna.peets@hotmail.com","http://www.hastingsrobertrjr.com","1979-10-31"
"Callie","Frymark","Shields, Sheridn Cpa","6601 Park Ave #9924","Mississauga","ON","L4T 0A1","905-465-6909","905-894-7244","callie.frymark@gmail.com","http://www.shieldssheridncpa.com","1974-11-25"
"Coral","Lowrance","Hepco Inc","4184 E 142nd St","Toronto","ON","M5V 0B4","416-589-6075","416-469-6933","c.lowrance@lowrance.org","http://www.hepcoinc.com","1978-09-07"
"Xenia","Luong","Institute For Law & Jstc Inc","1 El Camino Ave #39","Kingston","ON","K7K 1P6","613-714-1829","613-877-4457","xenia_luong@gmail.com","http://www.instituteforlawjstcinc.com","1995-10-24"
"Adelle","Lamastus","John J Mccarthy Agency Inc","10 Midway Dr","Thorold","ON","L2V 5C7","905-998-3758","905-848-6892","adelle_lamastus@lamastus.com","http://www.johnjmccarthyagencyinc.com","1976-10-03"
"Hildegarde","Rolling","Ocean State Rental Corp","2 Cottman Ave","West Vancouver","BC","V7T 1R7","604-960-7463","604-475-5636","hrolling@rolling.org","http://www.oceanstaterentalcorp.com","1980-08-17"
"Phuong","Lembke","Scholtes, William E Esq","8926 E 119th St #9","Lavaltrie","QC","J5T 2C7","450-501-4406","450-760-5225","p.lembke@lembke.org","http://www.scholteswilliameesq.com","1984-09-11"
"Leontine","Works","Caffrey, John F Esq","191 Richland St #5","Quebec","QC","G1J 4B2","418-271-8667","418-975-7693","leontine.works@cox.net","http://www.caffreyjohnfesq.com","1967-05-02"
"Darell","Eskew","Janney Montgomery Scott Inc","8 E 92nd St","Ajax","ON","L1S 6V3","905-846-7737","905-741-3908","d.eskew@eskew.com","http://www.janneymontgomeryscottinc.com","1963-08-20"
"Madonna","Daneker","Brown, Glenn Esq","283 Andover St","Castlegar","BC","V1N 3P7","250-307-7698","250-281-5616","m.daneker@daneker.com","http://www.brownglennesq.com","1973-12-26"
"Chuck","Yafuso","Weyerhaeuser Paper Co","764 Louisville Plac","St. Johns","NL","A1E 2L8","709-534-6576","709-374-6188","c.yafuso@gmail.com","http://www.weyerhaeuserpaperco.com","2000-04-07"
"Gregg","Cloutier","Best Western Sterling House","59 W Jackson Blvd #11","Lasalle","QC","H8R 3T2","514-302-4158","514-293-8889","g.cloutier@hotmail.com","http://www.bestwesternsterlinghouse.com","1975-09-18"
"Yan","Vinroe","Database Programming & Design","712 N 5th St","Grand Manan","NB","E5G 1L1","506-493-4894","506-822-2002","yan_vinroe@gmail.com","http://www.databaseprogrammingdesign.com","1976-12-07"
"Stephanie","Nosis","Brown Shoe Co","6 L St #1761","Kanata","ON","K2T 1G5","613-557-7338","613-998-1215","s.nosis@yahoo.com","http://www.brownshoeco.com","1966-12-05"
"Alberto","Mesmer","Dowell Associates Inc","6126 E 14th St #6","St Catharines","ON","L2N 6C7","905-435-9456","905-433-2538","alberto.mesmer@mesmer.org","http://www.dowellassociatesinc.com","1971-12-07"
"Wayne","Balonek","Ram Page","865 Ponce De Leon Blvd","Chicoutimi","QC","G7H 6A2","418-374-1965","418-323-3965","w.balonek@balonek.com","http://www.rampage.com","1990-09-06"
"Kristal","Opitz","L A Kennedy Inc","896 Pershing Ave","Paradise","NL","A1L 2Y8","709-976-5766","709-937-7068","kristal.opitz@opitz.org","http://www.lakennedyinc.com","1978-09-15"
"Florencia","Wrinkle","Cornwell, Michael C Esq","178 Riverdale Rd","Ingersoll","ON","N5C 2W2","519-961-7871","519-283-2137","florenciawrinkle@wrinkle.org","http://www.cornwellmichaelcesq.com","1955-12-13"
"Darrin","Vilven","Metro Press","4 Pedretti Ave #2","Saskatoon","SK","S7H 1X9","306-748-5721","306-438-8135","d.vilven@vilven.org","http://www.metropress.com","1968-03-18"
"Freeman","Bellis","Ramsey Secretarial Service","4 W Sedgley Ave","Otterburn Park","QC","J3H 4V8","450-347-6388","450-586-7429","freeman.bellis@gmail.com","http://www.ramseysecretarialservice.com","1990-06-01"
"Lazaro","Ziller","United Drilling Inc","31 E Middlefield Rd #8555","Beloeil","QC","J3G 3J4","450-356-6427","450-270-3903","lazaro.ziller@cox.net","http://www.uniteddrillinginc.com","1974-11-15"
"Ellsworth","Talty","Peyote Bird Designs","7662 Us Highway 46 #9003","Napanee","ON","K7R 1K5","613-862-4724","613-414-6589","ellsworth_talty@talty.org","http://www.peyotebirddesigns.com","1987-01-24"
"Brinda","Wolfgang","Gittleman Muhlstock","1 Park Ave","Newbridge","NB","E7N 1J4","506-392-8334","506-912-9599","brinda.wolfgang@wolfgang.org","http://www.gittlemanmuhlstock.com","1965-11-13"
"Florinda","Brang","Hoyt, Robert F Esq","2782 Midland Ave","Dieppe","NB","E1A 8X6","506-230-8075","506-590-6765","florinda_brang@aol.com","http://www.hoytrobertfesq.com","1975-03-27"
"Nadine","Hinsch","Contact Enterprises","3 Federal Blvd","Beloeil","QC","J3G 4M4","450-353-2331","450-552-2449","nadine.hinsch@hinsch.org","http://www.contactenterprises.com","1952-04-25"
"Arlette","Storrs","A All In One Construction","485 Rolling Rd","Lasalle","QC","H8R 3C2","514-459-6883","514-330-7587","arlette_storrs@cox.net","http://www.aallinoneconstruction.com","1989-01-11"
"Adolph","Snelling","Sas Rubber Inc","6605 Federal St","Etobicoke","ON","M8Y 3L6","416-736-1436","416-293-9664","adolphs@gmail.com","http://www.sasrubberinc.com","2000-09-27"
"Georgiana","Steinhaus","Stewart Filmscreen Corp","505 E 9mile Rd","Sainte-Therese","QC","J7E 3C9","450-409-1254","450-825-8316","georgiana_steinhaus@cox.net","http://www.stewartfilmscreencorp.com","1984-03-03"
"Rana","Kana","Freeman, Steven R Esq","32 Rocklyn Ave","Milton","ON","L9T 5W8","905-286-8285","905-602-1487","rana.kana@kana.com","http://www.freemanstevenresq.com","1957-12-05"
"Chi","Selfe","Holmes, Armstead J Esq","2953 5th Ave #27","Saint-Raymond","QC","G3L 3K2","418-922-5578","418-327-9560","chi.selfe@cox.net","http://www.holmesarmsteadjesq.com","1982-10-09"
"Starr","Kast","Gs Roofing Company","133 Us Highway 206","Chicoutimi","QC","G7H 4M5","418-811-3750","418-867-8129","starrk@yahoo.com","http://www.gsroofingcompany.com","1961-12-02"
"Glennis","Hummell","York Services Landscpg Divsn","1 Pershing Ave","Brandon","MB","R7A 4C6","204-514-9319","204-206-2818","glennis.hummell@hotmail.com","http://www.yorkserviceslandscpgdivsn.com","1998-11-30"
"Thea","Steinhorst","Anderson Heather Zane","402 Santa Isabel Ave","Sept-Iles","QC","G4S 1Z5","418-360-6739","418-579-7203","theasteinhorst@steinhorst.com","http://www.andersonheatherzane.com","1980-01-02"
"Rosalind","Mathiasen","Grand Prairie Chamber Commrce","86 Shady Run Rd","Kanata","ON","K2M 1E6","613-975-5760","613-310-5882","rosalindm@hotmail.com","http://www.grandprairiechambercommrce.com","1977-03-11"
"Shenika","Beachel","Helco Sales Co","4 Collier Rd Nw","Ottawa","ON","K1S 1N5","613-219-1869","613-639-9327","shenika.beachel@aol.com","http://www.helcosalesco.com","1992-07-18"
"Veta","Areizaga","Rickard, Deborah S","940 E Jefferson Ave","Juniper","NB","E7L 1G1","506-996-1241","506-589-3482","veta.areizaga@hotmail.com","http://www.rickarddeborahs.com","1955-10-04"
"Herschel","Walen","Molded Dimensions Inc","7753 W 8th","Toronto","ON","M4V 1Y3","416-786-7887","416-325-4082","herschel_walen@aol.com","http://www.moldeddimensionsinc.com","1953-10-17"
"Dianne","Delacerda","Samios, Gus Esq","53 6  17 M At Bradleys","Dartmouth","NS","B2Y 3L2","902-938-6891","902-250-5089","d.delacerda@hotmail.com","http://www.samiosgusesq.com","1975-12-04"
"Micah","Rollison","Fairfield Inn","103 Madison Ave","St. Johns","NL","A1E 2J5","709-581-5842","709-472-4405","micah_rollison@rollison.com","http://www.fairfieldinn.com","1989-05-05"
"Kaycee","Rubarts","A & H Sptc Systems & Matl Inc","8788 E 64th Ave","Vancouver","BC","V6R 1N3","604-992-6045","604-609-6898","kaycee_rubarts@aol.com","http://www.ahsptcsystemsmatlinc.com","1956-02-01"
"Tesha","Purslow","Butler Tool & Design Inc","831 Vanowen St #5","Montreal","QC","H4K 2N2","514-432-5290","514-232-9502","tesha.purslow@purslow.com","http://www.butlertooldesigninc.com","1984-06-25"
"Marya","Sabota","Auchter Industrial Vac Inc","661 Pitkin Ave","Calgary","AB","T3Z 3S8","403-382-4146","403-980-7897","marya.sabota@sabota.com","http://www.auchterindustrialvacinc.com","1970-12-07"
"Ronnie","Betterton","Pure Wtr Inc Wrldwd Corprt","3 Avenue Rt 295 #199","Halifax","NS","B3H 1M2","902-367-7042","902-331-8779","ronnie.betterton@yahoo.com","http://www.purewtrincwrldwdcorprt.com","1982-06-19"
"Mabel","Tryninewski","Swartz, John L Esq","709 W Waters Ave","Chicoutimi","QC","G7H 3T5","418-339-7473","418-795-6863","m.tryninewski@gmail.com","http://www.swartzjohnlesq.com","1963-08-14"
"Harley","Cutsforth","Alliance Construction Co Inc","27 Spring St","Woodstock","ON","N4S 2K1","519-913-7772","519-633-3173","h.cutsforth@cutsforth.org","http://www.allianceconstructioncoinc.com","1980-10-11"
"Joye","Mcloud","Valley Credit Union","9 Court St","Regina","SK","S4N 3J4","306-991-3698","306-775-6775","jmcloud@cox.net","http://www.valleycreditunion.com","1968-06-28"
"Luisa","Hofbauer","Level Export Sales Corp","82 Westminster Blvd","Vancouver","BC","V5X 2B5","604-399-1449","604-967-7334","l.hofbauer@cox.net","http://www.levelexportsalescorp.com","1988-03-20"
"Stacey","Mcelreath","Electrical Workers Unon Ibew","5039 Coffee Rd","Scarborough","ON","M1K 1H4","416-310-1610","416-753-5069","stacey.mcelreath@yahoo.com","http://www.electricalworkersunonibew.com","1970-06-30"
"Reyes","Windell","Richardson, David J Esq","9 E Thayer Ave #3","Hamilton","ON","L8S 2N1","905-402-9203","905-297-5980","rwindell@cox.net","http://www.richardsondavidjesq.com","1961-02-11"
"Avery","Cilento","Carriage House Cllsn Rpr Inc","1 Highland Ave","Maple Ridge","BC","V4R 1Z3","604-548-4412","604-855-5368","avery.cilento@gmail.com","http://www.carriagehousecllsnrprinc.com","1959-08-08"
"Colby","Billa","Mass Human Services Coalition","7 E 1st St","Barrie","ON","L4N 3M9","705-668-5094","705-288-6886","colby_billa@yahoo.com","http://www.masshumanservicescoalition.com","1993-05-28"
"Afton","Deppen","Super 8 Motel","652 5th Ave","Ottawa","ON","K1N 6S5","613-851-7883","613-887-9528","adeppen@cox.net","http://www.supermotel.com","1967-09-20"
"India","Epperheimer","Fashion Shop & Save","162 Sunrise Plz","Toronto","ON","M5N 1J1","416-866-6707","416-539-4631","india_epperheimer@aol.com","http://www.fashionshopsave.com","1966-03-27"
"Brunilda","Airhart","Young Contractors Inc","300 Congers Rd #77","Saint-Paul","NB","E4T 3B9","506-327-7460","506-881-6523","brunildaa@hotmail.com","http://www.youngcontractorsinc.com","1986-02-26"
"Jenifer","Buettner","Bambrickv, Timothy F Esq","78 152nd Ave #4179","Duncan","BC","V9L 4G2","250-947-2063","250-845-8934","j.buettner@buettner.org","http://www.bambrickvtimothyfesq.com","1993-02-23"
"Makeda","Haycock","Lloyds Screenprinting","956 Sierra Ave","Toronto","ON","M5K 1A1","416-827-4082","416-523-2691","makeda.haycock@cox.net","http://www.lloydsscreenprinting.com","1989-10-24"
"Vivan","Mahlum","Record Journal","4696 Alewa Dr","Swift Current","SK","S9H 3S9","306-325-3090","306-606-8869","vivan.mahlum@hotmail.com","http://www.recordjournal.com","1985-03-03"
"Eric","Kitchens","Moriah Fund Inc","732 Congress St","Saint-Georges","QC","G5Z 0N4","418-274-7373","418-389-1370","eric.kitchens@yahoo.com","http://www.moriahfundinc.com","1973-03-08"
"Thersa","Lakatos","Herstein, Elliot J","863 E Mcdowell Rd","Kamloops","BC","V2C 6S8","250-540-5275","250-359-4646","t.lakatos@hotmail.com","http://www.hersteinelliotj.com","1963-01-05"
"Mindy","Meisel","Gavin, William H Esq","82 Us Highway 111","Vancouver","BC","V5X 3K2","604-213-8721","604-936-4293","m.meisel@yahoo.com","http://www.gavinwilliamhesq.com","1974-11-10"
"Luis","Harnist","Hyman And Lippitt","8868 S Arroyo Pkwy #996","Trois-Rivieres","QC","G8V 2J6","819-860-8913","819-747-5807","luis.harnist@hotmail.com","http://www.hymanandlippitt.com","1957-11-27"
"Dawne","Madson","Bridger Scientific Inc","25 Keystone Xing","Stoney Creek","ON","L8E 2E4","905-760-9649","905-999-2576","dawne_madson@madson.org","http://www.bridgerscientificinc.com","1959-06-09"
"Karrie","Fucillo","Lohmeyer Corrigan Taylor Pc","491 Main St #893","Kamloops","BC","V2B 7X9","250-384-7658","250-661-6367","karrie_fucillo@cox.net","http://www.lohmeyercorrigantaylorpc.com","1955-07-30"
"Mozelle","Foulds","Comfort Inn Of Lincoln","523 Spencerville Ct","Mount Pisgah","NB","E4G 1E8","506-573-3112","506-834-4114","m.foulds@hotmail.com","http://www.comfortinnoflincoln.com","1999-01-25"
"Mila","Collopy","Bobby Reed Attorney At Law","515 S Main St","Saint-Leonard","QC","H1P 1M8","514-945-2978","514-363-9034","milac@aol.com","http://www.bobbyreedattorneyatlaw.com","1984-07-20"
"Gilma","Shintaku","Celestin Design Centre","147 E Centre St","Halifax","NS","B3H 4E1","902-804-8543","902-756-4703","g.shintaku@shintaku.org","http://www.celestindesigncentre.com","1970-12-14"
